,cvm_code,data_origin,data,year,value,ticker
0,20532,dividendos,dividend,2011,0.026336937,SANB11
0,20532,dividendos,dividend,2011,0.000263369,SANB4
0,20532,dividendos,interest,2011,0.001448532,SANB4
0,20532,dividendos,dividend,2011,0.000239427,SANB3
0,20532,dividendos,interest,2011,0.001316847,SANB3
0,20532,dividendos,dividend,2011,0.0017957,SANB3
0,20532,dividendos,dividend,2011,0.19752703,SANB11
0,20532,dividendos,dividend,2011,0.00197527,SANB4
0,20532,dividendos,interest,2011,0.00143656,SANB3
0,20532,dividendos,interest,2011,0.158021625,SANB11
0,20532,dividendos,interest,2011,0.001580216,SANB4
0,20532,dividendos,dividend,2010,0.337112799,SANB11
0,20532,dividendos,dividend,2010,0.003064662,SANB3
0,20532,dividendos,interest,2010,0.001029535,SANB3
0,20532,dividendos,dividend,2010,0.003371128,SANB4
0,20532,dividendos,interest,2010,0.001132488,SANB4
0,20532,dividendos,interest,2010,0.113248831,SANB11
0,20532,dividendos,interest,2010,0.001268962,SANB3
0,20532,dividendos,interest,2010,0.139585768,SANB11
0,20532,dividendos,interest,2010,0.001395858,SANB4
0,20532,dividendos,dividend,2010,0.131684687,SANB11
0,20532,dividendos,dividend,2010,0.001197134,SANB3
0,20532,dividendos,interest,2010,0.000957707,SANB3
0,20532,dividendos,dividend,2010,0.001316847,SANB4
0,20532,dividendos,interest,2010,0.001053477,SANB4
0,20532,dividendos,interest,2010,0.10534775,SANB11
0,20532,dividendos,interest,2010,0.000957707,SANB3
0,20532,dividendos,interest,2010,0.10534775,SANB11
0,20532,dividendos,interest,2010,0.001053477,SANB4
0,20532,dividendos,dividend,2009,0.000862271,SANB4
0,20532,dividendos,interest,2009,0.000526739,SANB4
0,20532,dividendos,dividend,2009,0.111299898,SANB11
0,20532,dividendos,dividend,2009,0.086227133,SANB11
0,20532,dividendos,dividend,2009,0.001112999,SANB4
0,20532,dividendos,dividend,2009,0.000783883,SANB3
0,20532,dividendos,interest,2009,0.000478853,SANB3
0,20532,dividendos,dividend,2009,0.001011817,SANB3
0,20532,dividendos,interest,2009,0.052673875,SANB11
0,20532,dividendos,interest,2009,0.000836076,SANB3
0,20532,dividendos,interest,2009,0.000919683,SANB4
0,20532,dividendos,interest,2009,0.001097166,SANB4
0,20532,dividendos,interest,2009,0.000997423,SANB3
0,20532,dividendos,dividend,2008,8.933e-06,SANB3
0,20532,dividendos,dividend,2008,0.000637157,SANB3
0,20532,dividendos,interest,2008,0.001408127,SANB3
0,20532,dividendos,dividend,2008,0.002208433,SANB3
0,20532,dividendos,interest,2008,0.00154894,SANB4
0,20532,dividendos,dividend,2008,0.002429276,SANB4
0,20532,dividendos,dividend,2008,9.826e-06,SANB4
0,20532,dividendos,dividend,2008,0.000700873,SANB4
0,20532,dividendos,interest,2007,0.001904395,SANB3
0,20532,dividendos,dividend,2007,0.001732579,SANB3
0,20532,dividendos,dividend,2007,0.001905837,SANB4
0,20532,dividendos,interest,2007,0.002094835,SANB4
0,20532,dividendos,dividend,2007,0.007716518,SANB4
0,20532,dividendos,dividend,2007,0.007015016,SANB3
0,20532,dividendos,interest,2007,0.00189288,SANB3
0,20532,dividendos,dividend,2007,0.003755256,SANB3
0,20532,dividendos,interest,2007,0.002082168,SANB4
0,20532,dividendos,dividend,2007,0.004130781,SANB4
0,20532,dividendos,interest,2024,0.402399096,SANB11
0,20532,dividendos,interest,2024,0.1916,SANB3
